id,title,Category
RxWmdyjR544,introduction to inorganic and organometallic chemistry ,0
OUj4j6td1es,chemistry 107 inorganic chemistry lecture 01 ,0
8Ny9Hprt2i4,an introduction to inorganic chemistry lecture 1 ,0
lC57cJzM8OA,difference between organic and inorganic compounds ,0
MCYRhCA7j1s,inorganic chemistry ,0
M1jG3hxJOUU,complete inorganic chemistry in 1 shot  concepts  most important questions  neet 2023 ,0
L_EbE8Tc7bQ,the whole of year 1 inorganic chemistry in 50 minutes  ocr alevel ,0
E-GsjtKtBTI,inorganic   2023 revision may 2  chemistry amila dasanayake ,0
bka20Q9TN6M,intro to chemistry basic concepts  periodic table elements metric system amp unit conversion ,0
Y3-a47hMaRk,the right way to study inorganic chemistry like toppers  kalpit veerwal ,0
Zf1c6g3hbHE,madhyamik physical science chapter 84  inorganic chemistry class x wbbse class x physical science ,0
9yxs9fqe-SY,imat chemistry lesson 51  inorganic nomenclature ,0
66yZbkPdA4Y,rank 1 neet 2022  inorganic chemistry     ,0
pxc41qKv7qE,which inorganic chemicals are the most cursed ,0
AVh7HVEkYiA,inorganic chemistry best hack iit motivation   neet motivation  jee 2023  jeeneet chemistry ,0
XNCb1o1KTGY,jee mains  inorganic chemistry detailed analysis  ,0
jG0pb-wdysQ,basics of inorganic chemistry  part  1  in tamil  learnyourselfthinkyourself ,0
q9LioWRBu1k, trick se solve  inorganic chemistry jeeneet master inorganic ,0
1sZhWG_imaI,inorganic chemistry guide to score 100 jee main amp advanced  kalpit veerwal ,0
F81AlSzZc8k,inorganic chemistry preparation strategy  tanmay gupta neet topper shorts ,0
A9ipaLhUiMA,secret to score in inorganic chemistry  ,0
9S-BPnxa63Y,edexcel topic 4 inorganic chemistry and the periodic table revision ,0
XsdiU0nQZLk,best way to study inorganic chemistry like topper  dnc technique shorts ,0
fhKHH6pxbDU,comments  inorganic spd night seminar part 1 ,0
S0B-BHWV-Rc,score full in this subject in neet  inorganic chemistry neet2024 viral neet2025 chemistry ,0
1M83RZmt7_w,madhyamik physical science chapter 84  inorganic chemistry class x wbbse class x physical science ,0
hlL0LIKfVvw,chemistry 107 inorganic chemistry lecture 02 ,0
pscqWvjGN2E,jee 2023 inorganic chemistrygateway to iit  complete strategy amp roadmap series  episode 5 ,0
9qspFH3I1rk,07 zero level inorganic chemistry for 9th  10th  11th 12th by vikram hap chemistry ,0
8li5EleU-CE, rs69 inorganic chemistry ultimate roadmap   iit motivation  jee 2023  neet 2023 jee iit ,0
nVz37y5LREA,impurities in pharmaceutical substances  sources of impurities  pharmaceutical inorganic chemistry ,0
O_KhEpXe6uE,chemistry 107 inorganic chemistry lecture 04 ,0
